Kod TERYT,Nazwa województwa,Rok zgonu,Miesiąc zgonu,Zgony kobiet Przedział wiekowy 0-64 lata,Zgony kobiet Przedział wiekowy 65 lat i więcej,Zgony mężczyn Przedział wiekowy 0-64 lata,Zgony mężczyzn Przedział wiekowy 65 lat i więcej
2,DOLNOŚLĄSKIE,2022,1,258,1693,555,1370
2,DOLNOŚLĄSKIE,2022,2,203,1440,419,1191
2,DOLNOŚLĄSKIE,2022,3,216,1383,434,1187
2,DOLNOŚLĄSKIE,2022,4,188,1241,437,1062
2,DOLNOŚLĄSKIE,2022,5,177,1130,407,990
2,DOLNOŚLĄSKIE,2022,6,191,1083,429,931
2,DOLNOŚLĄSKIE,2022,7,193,1106,383,930
2,DOLNOŚLĄSKIE,2022,8,174,1116,425,970
4,KUJAWSKO-POMORSKIE,2022,1,162,1047,387,929
4,KUJAWSKO-POMORSKIE,2022,2,130,935,308,779
4,KUJAWSKO-POMORSKIE,2022,3,154,975,274,806
4,KUJAWSKO-POMORSKIE,2022,4,120,870,293,646
4,KUJAWSKO-POMORSKIE,2022,5,127,800,281,626
4,KUJAWSKO-POMORSKIE,2022,6,105,797,272,647
4,KUJAWSKO-POMORSKIE,2022,7,141,748,269,610
4,KUJAWSKO-POMORSKIE,2022,8,129,780,261,638
6,LUBELSKIE,2022,1,149,1140,351,902
6,LUBELSKIE,2022,2,106,1056,303,834
6,LUBELSKIE,2022,3,102,981,304,830
6,LUBELSKIE,2022,4,122,914,295,730
6,LUBELSKIE,2022,5,87,794,302,701
6,LUBELSKIE,2022,6,116,778,308,694
6,LUBELSKIE,2022,7,102,783,310,668
6,LUBELSKIE,2022,8,96,791,298,662
8,LUBUSKIE,2022,1,83,474,194,418
8,LUBUSKIE,2022,2,67,432,150,372
8,LUBUSKIE,2022,3,73,452,172,370
8,LUBUSKIE,2022,4,73,403,146,367
8,LUBUSKIE,2022,5,74,317,160,369
8,LUBUSKIE,2022,6,62,344,141,298
8,LUBUSKIE,2022,7,81,359,140,279
8,LUBUSKIE,2022,8,71,357,171,344
10,ŁÓDZKIE,2022,1,207,1659,465,1269
10,ŁÓDZKIE,2022,2,170,1344,425,1070
10,ŁÓDZKIE,2022,3,187,1290,417,1076
10,ŁÓDZKIE,2022,4,193,1218,429,920
10,ŁÓDZKIE,2022,5,148,1123,391,887
10,ŁÓDZKIE,2022,6,151,1097,413,827
10,ŁÓDZKIE,2022,7,143,1055,378,881
10,ŁÓDZKIE,2022,8,174,1157,389,896
